LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2009,BERKELEY,0.758236507,C
2009,BODEGA BAY,0.456057663,C
2009,CATALINA ISLAND,0.983570701,C
2009,CHARLESTON (COOS BAY),0.265265324,O
2009,CHINOOK,NA,W
2009,CRESCENT CITY,0.266484923,C
2009,DANA POINT,0.991865616,C
2009,DILLON BEACH,0.493069727,C
2009,EMERYVILLE,0.741904835,C
2009,EUREKA,0.190726843,C
2009,FIELDS LANDING,0.166951666,C
2009,FORT BRAGG,0.229143306,C
2009,GARIBALDI (TILLAMOOK),NA,O
2009,GAVIOTA,0.890603415,C
2009,GOLETA,0.939500559,C
2009,GUADALUPE,0.899284294,C
2009,HUMBOLDT,0.247818653,C
2009,HUNTINGTON BEACH,0.989048623,C
2009,ILWACO,NA,W
2009,LACONNER,NA,W
2009,LONG BEACH,0.987358662,C
2009,LOS ANGELES,0.988576224,C
2009,MISSION BAY,0.996986847,C
2009,MONTEREY,0.706251574,C
2009,MORRO BAY,0.908719941,C
2009,MOSS LANDING,0.707381803,C
2009,NASELLE,NA,W
2009,NATIONAL CITY,0.997314998,C
2009,NEAH BAY,NA,W
2009,NEWPORT,NA,O
2009,NEWPORT BEACH,0.991297062,C
2009,OCEANSIDE,0.995099876,C
2009,OXNARD,0.984645069,C
2009,PLAYA DEL REY,0.987358662,C
2009,POINT LOMA,0.997207096,C
2009,PORT HUENEME,0.983409041,C
2009,PORT ORFORD,0.200750514,O
2009,PRINCETON / HALF MOON BAY,0.605479028,C
2009,REDONDO BEACH,0.986721656,C
2009,RICHMOND,0.708683526,C
2009,SAN DIEGO,0.998063787,C
2009,SAN FRANCISCO,0.680319215,C
2009,SAN PEDRO,0.987158013,C
2009,SAN SIMEON,0.872835353,C
2009,SANTA BARBARA,0.976939571,C
2009,SANTA CRUZ,0.643546447,C
2009,SANTA MONICA,0.987717517,C
2009,SAUSALITO,0.571079127,C
2009,SEAL BEACH,0.98847478,C
2009,SHELTER COVE,0.200387939,C
2009,SOUTH SAN FRANCISCO,0.644797506,C
2009,TACOMA,NA,W
2009,TERMINAL ISLAND,0.987519738,C
2009,THE DALLES,NA,W
2009,VALLEJO,0.780695872,C
2009,VENTURA,0.985909123,C
2009,WESTPORT,NA,W
2009,WHIDBY ISLAND,NA,W
2009,WILLOW CREEK,0.360888514,C
2009,WILMINGTON,0.987358662,C
2009,WINCHESTER BAY,0.499654485,O
2010,ABERDEEN,NA,W
2010,ALAMEDA,0.32906747,C
2010,ANACORTES,NA,W
2010,ASTORIA,NA,O
2010,AVALON,0.812209627,C
2010,AVILA,0.329057429,C
2010,BELLINGHAM BAY,NA,W
2010,BERKELEY,0.33624803,C
2010,BODEGA BAY,0.133634347,C
2010,CATALINA ISLAND,0.814091045,C
2010,CHARLESTON (COOS BAY),0.31953952,O
2010,CHINOOK,NA,W
2010,CRESCENT CITY,0.383266365,C
2010,DANA POINT,0.920308215,C
2010,DILLON BEACH,0.150127263,C
2010,EMERYVILLE,0.329810943,C
2010,EUREKA,0.269294353,C
2010,FIELDS LANDING,0.232965001,C
2010,FORT BRAGG,0.103811173,C
2010,GARIBALDI (TILLAMOOK),NA,O
2010,GAVIOTA,0.538993395,C
2010,GOLETA,0.664237756,C
2010,GUADALUPE,0.399963218,C
2010,HUMBOLDT,0.340688611,C
2010,HUNTINGTON BEACH,0.89566089,C
2010,ILWACO,NA,W
2010,LACONNER,NA,W
2010,LONG BEACH,0.87383297,C
2010,LOS ANGELES,0.901473031,C
2010,MISSION BAY,0.967182537,C
2010,MONTEREY,0.165859527,C
2010,MORRO BAY,0.309574145,C
2010,MOSS LANDING,0.222268187,C
