LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2010,REDONDO BEACH,C,2.191910644891615
2010,SAN DIEGO,C,2.038612953195346
2010,SAN FRANCISCO,C,0.6346449132840176
2010,SAN PEDRO,C,2.1758677391255046
2010,SAN SIMEON,C,0.5563165202493329
2010,SANTA BARBARA,C,2.1462585970900787
2010,SANTA CRUZ,C,0.6081746110726711
2010,SANTA MONICA,C,2.3049169766659503
2010,SEAL BEACH,C,2.226402185690251
2010,TACOMA,W,NA
2010,TERMINAL ISLAND,C,2.191109123541437
2010,VALLEJO,C,0.8167518127776836
2010,VENTURA,C,2.33455026928794
2010,WESTPORT,W,NA
2010,WILLOW CREEK,C,1.337329089480969
2010,WILMINGTON,C,2.198608791780199
2010,WINCHESTER BAY,O,2.0332333107546816
2011,ABERDEEN,W,NA
2011,ALAMEDA,C,1.2166708417768575
2011,ANACORTES,W,NA
2011,ASTORIA,O,NA
2011,AVALON,C,2.5469845320742532
2011,AVILA,C,1.7959006727790203
